  Page 1                                             17-02-2014 23:18:05
  **********************************************************************
  *                             E P A N E T                            *
  *                     Hydraulic and Water Quality                    *
  *                     Analysis for Pipe Networks                     *
  *                           Version 2.0                              *
  **********************************************************************
  
  Input File: saomamede1.13.1 (calibrado).NET
  
  prueba
  
  Link - Node Table:
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  p114           nv107'         n111                 80.3        79
  p34            n34            n35                    56        57
  p31            n31            n32                  84.4        57
  p37            n34            n38                 437.5        81
  p69            n68            n69                  37.1        67
  p68            n64            n68                  48.8        67


  Page 6                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  p77            n76            n77                  92.5        81
  p25            nv25           n26                 123.1        79
  p48            n24            n49                   136        81
  p60            nv50''         n60                 253.4        81
  p23            n23            n24                 20.42        81
  p73            n73            n71                   2.2        96
  p30            n29            n31                  38.1        81
  p36            n35            n37                  29.1        57
  p66            nv65           n66                 154.3        67
  p49            nv49           nv50                301.7        81
  p33            nv33           n34                  54.2        81
  p120           n115           n117                 32.6        79
  p109           n105           n106                  2.1        79
  p111           nv107          n108                 76.9        79
  p71            n71            n50                 170.5        96
  p74            n74            nv73                   27        81
  p29            nv29           n30                  76.1        79
  p44            n44            n45                  50.4        79
  p46            n43            n47                   4.6        79
  p83            n82            nv76                160.6       144
  p131           n126           n127                320.5       141
  p147           n142           n143                 29.4        81
  p143           n138           n139                 40.9        81
  p142           nv133''        n138                 41.2        81
  p112           n108           n109                 13.3        79
  p132           nv127          n128                  7.9       141
  p141           n136           n137                102.6        81
  p136           nv131          n132                203.7        81
  p134           nv129'         n130                170.5        81
  p151           n146           n147                212.9        81
  p133           nv128          nv129                63.3        81
  p152           n146           n148                102.8        81
  p139           n134           nv135                  19        81
  p148           n143           n144                 73.6        81
  p138           nv133'         n134                 32.5        81
  p135           n129           n131                 23.5        81
  p150           nv145          n146                134.7        81
  p144           n139           n140                 70.1        81
  p137           n128           nv133                80.4       113
  p140           nv134          n136                  7.1        81
  p145           n139           n141                 81.7        81
  p129           n123           nv125                 191       113
  p146           n138           n142                   16        81
  p113           n108           n110                12.28        79
  p149           n143           n145                 87.7        81
  p153           nv148          n149                 38.8        81
  p154           n148           nv150                27.7        81


  Page 7                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  p67            nv65'          n67                 324.5        79
  p193           nv186          n187                439.4       141
  p127           nv120'         n123                497.5       113
  p11            n12            n13                 565.9        79
  p50            n21            nv50'               459.2        81
  p196           nv188          nv190               440.1        79
  p130           nv120          n126               1090.4       141
  p248           n239           n240                593.1        96
  p210           nv202'         n203                137.3        81
  p214           n203           nv207               123.2        81
  p123           n119           n120                  0.9       141
  p223           n215           n216                  2.6       141
  p224           nv216          n217                  2.7       141
  p81            n80            nv81                    1        96
  p242           n234           n235                  1.6        96
  p243           nv235          n236                  1.6        96
  vs2-10         nv10           n10                   0.1        80
  vs1-8          nv8            n8                    0.1        80
  vs3-11         n11            nv11                  0.1        80
  vs4-11         n11            nv11'                 0.1        80
  vs5-14         nv14           n14                   0.1        80
  vs26-14        n14            nv14'                 0.1        80
  vs6-15         n15            nv15                  0.1        80
  vs7-18         n18            nv18                  0.1        80
  vs8-19         n19            nv19                  0.1        80
  vs9-21         nv21           n21                   0.1        80
  vs10-22        nv22           n22                   0.1        80
  vs11-23        n23            nv23                  0.1        80
  vs12-24        n24            nv24                  0.1        80
  vs13-25        n25            nv25                  0.1        80
  vs14-27        n27            nv27                  0.1        80
  vs15-29        n29            nv29                  0.1        80
  vs16-33        n33            nv33                  0.1        80
  vs17-35        n35            nv35                  0.1        63
  vs18-39        n39            nv39                  0.1        80
  vs19-41        n41            nv41                  0.1        80
  vs20-41        nv41'          nv41''                0.1        80
  vs21-43        n43            nv43                  0.1        80
  vs22-47        n47            nv47                  0.1        80
  vs23-49        n49            nv49                  0.1        80
  vs24-50        nv50           n50                   0.1        80
  vs25-50        nv50'          n50                   0.1        80
  vs27-51        n51            nv51                  0.1        80
  vs29-51        n51            nv51'                 0.1        80
  vs28-52        n52            nv52                  0.1        80
  vs30-55        n55            nv55                  0.1        80
  vs31-56        n56            nv56                  0.1        80


  Page 8                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  vs32-57        n57            nv57                  0.1        80
  vs33-50        n50            nv50''                0.1        80
  vs34-60        n60            nv60                  0.1        80
  vs35-64        n64            nv64                  0.1        80
  vs36-65        n65            nv65                  0.1        75
  vs37-65        n65            nv65'                 0.1        80
  vs38-72        nv72           n72                   0.1        80
  vs39-73        nv73           n73                   0.1        80
  vs40-74        n74            nv74                  0.1        80
  vs41-76        nv76           n76                   0.1        80
  vs42-78        n78            nv78                  0.1        80
  vs43-79        nv79           n79                   0.1        80
  vs44-81        nv81           n81                   0.1       100
  vs45-80        nv80           n80                   0.1       150
  vs46-84        n84            nv84                  0.1       125
  vs47-87        n87            nv87                  0.1       150
  vs48-89        n89            nv89                  0.1        80
  vs49-90        n90            nv90                  0.1        80
  vs50-95        n95            nv95                  0.1        80
  vs51-97        n97            nv97                  0.1        80
  vs52-99        n99            nv99                  0.1        80
  vs53-101       n101           nv101                 0.1        80
  vs54-102       n102           nv102                 0.1        80
  vs55-102       n102           nv102'                0.1        80
  vs56-101       n101           nv101'                0.1        80
  vs57-107       n107           nv107                 0.1        80
  vs58-107       n107           nv107'                0.1        80
  vs59-111       n111           nv111                 0.1        80
  vs60-113       n113           nv113                 0.1        80
  vs61-113       n113           nv113'                0.1        80
  vs64-119       n119           nv119                 0.1       150
  vs63-121       nv121          n121                  0.1       125
  vs67-120       n120           nv120                 0.1       150
  vs62-120       n120           nv120'                0.1       125
  vs65-123       n123           nv123                 0.1       100
  p128           nv123          n124                 14.1        99
  vs66-125       nv125          n125                  0.1       125
  vs68-128       n128           nv128                 0.1        80
  vs69-129       nv129          n129                  0.1        80
  vs70-129       n129           nv129'                0.1        80
  vs71-131       n131           nv131                 0.1        80
  vs72-133       nv133          n133                  0.1       125
  vs73-133       n133           nv133'                0.1        80
  vs74-135       nv135          n135                  0.1        80
  vs75-134       n134           nv134                 0.1        80
  vs76-133       n133           nv133''               0.1        80
  vs77-142       n142           nv142                 0.1        80


  Page 9                                                          prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  vs78-145       n145           nv145                 0.1        80
  vs79-148       n148           nv148                 0.1        80
  vs80-150       nv150          n150                  0.1        80
  vs81-151       n151           nv151                 0.1       100
  vs82-153       n153           nv153                 0.1        80
  vs83-154       n154           nv154                 0.1        80
  vs84-159       nv159          n159                  0.1        80
  vs85-159       n159           nv159'                0.1        80
  vs86-161       n161           nv161                 0.1        80
  vs87-161       n161           nv161'                0.1        80
  vs88-167       n167           nv167                 0.1        80
  vs95-170       n170           nv170'                0.1        80
  vs94-170       nv170          n170                  0.1        80
  vs96-181       n181           nv181                 0.1        80
  vs97-183       nv183          n183                  0.1        80
  vs98-183       n183           nv183'                0.1        80
  vs99-185       nv185          n185                  0.1        80
  vs93-178       nv178          nv178'                0.1        80
  vs92-178       nv178          n178                  0.1        80
  vs89-172       n172           nv172                 0.1        80
  vs90-174       n174           nv174                 0.1        80
  vs91-175       n175           nv175                 0.1        80
  vs100-153      n153           nv153'                0.1       150
  vs101-186      n186           nv186                 0.1       150
  vs102-187      n187           nv187                 0.1        80
  vs103-188      n188           nv188                 0.1        80
  vs104-190      nv190          n190                  0.1        80
  vs129-218      n218           nv218'                0.1       100
  vs130-234      n234           nv234                 0.1       100
  vs105-186      n186           nv186'                0.1        80
